Fecha,SupraCanal,SupraCanal_Origen,Leads_brutos_C2C,Leads_brutos_IB,Leads_utiles_C2C,Leads_utiles_IB,Llamadas_entrantes_C2C,Llamadas_entrantes_IB,Clientes,Inversion,Inversion_Fee,Ventas_BI,Oportunidades_BI,Altas
2024-06-01,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-02,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-03,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-04,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-05,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-06,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-07,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-08,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-09,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-10,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-11,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-12,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-13,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-14,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-15,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-16,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-17,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-18,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-19,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-20,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-21,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-22,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-23,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-24,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-25,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-26,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-27,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-28,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-29,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-06-30,Terceros,,0,0,0,0,0,0,0,827.7,827.7,0,0,0
2024-07-01,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-02,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-03,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-04,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-05,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-06,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-07,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-08,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-09,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-10,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-11,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-12,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-13,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-14,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-15,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-16,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-17,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-18,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-19,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-20,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-21,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-22,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-23,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-24,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-25,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-26,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-27,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-28,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-29,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-30,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-07-31,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-01,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-02,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-03,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-04,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-05,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-06,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-07,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-08,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-09,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-10,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-11,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-12,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-13,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-14,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-15,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-16,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-17,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-18,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-19,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-20,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-21,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-22,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-23,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-24,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-25,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-26,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-27,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-28,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-29,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-30,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-08-31,Terceros,,0,0,0,0,0,0,0,801,801,0,0,0
2024-09-01,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-02,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-03,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-04,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-05,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-06,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-07,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-08,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-09,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-10,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-11,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-12,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-13,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-14,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-15,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-16,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-17,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-18,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-19,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-20,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-21,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-22,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-23,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-24,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-25,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-26,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-27,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-28,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-29,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-09-30,Terceros,,0,0,0,0,0,0,0,812.7,812.7,0,0,0
2024-10-01,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-02,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-03,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-04,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-05,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-06,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-07,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-08,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-09,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-10,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-11,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-12,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-13,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-14,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-15,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-16,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-17,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-18,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-19,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-20,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-21,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-22,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-23,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-24,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-25,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-26,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-27,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-28,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-29,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-30,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-10-31,Terceros,,0,0,0,0,0,0,0,785.2,785.2,0,0,0
2024-11-01,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-02,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-03,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-04,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-05,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-06,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-07,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-08,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-09,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-10,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-11,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-12,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-13,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-14,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-15,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-16,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-17,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-18,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-19,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-20,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-21,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-22,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-23,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-24,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-25,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-26,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-27,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-28,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
2024-11-29,Terceros,,0,0,0,0,0,0,0,807.8,807.8,0,0,0
